FishID,Lake,Mass_g,Ectoparasites_YN,SL_mm,BodyDepth,BuccalCavityLength,Sex_MFU,GapeWidth,PteroticWidth,RakerNum,Caudal peduncle,Jaw Length,Snout Length,Eye Diameter,Head Length,TL
S180101,Arc,1.74,N,54.42,13.73,11.33,U,,,,0.249704062,0.473708257,0.566954644,0.436404511,1.791280736,6.125706097
S180102,Arc,2.96,N,60.54,15.92,11.2,F,,,,0.270360568,0.317108567,0.436888896,0.425456387,1.754655224,6.302027052
S180103,Arc,3.74,N,62.04,15.85,11.24,F,3.55,6.68,23,0.250434792,0.420602356,0.500114556,0.470980911,1.859007738,6.704565573
S180104,Arc,3.08,N,57.72,14.44,11.3,F,,,,0.22161685,0.382586165,0.500746994,0.470397108,1.786594858,6.571638267
S180105,Arc,1.26,N,48.05,11.32,9.85,F,,,,0.203769688,0.277123677,0.407539375,0.387296669,1.410534469,4.973095791
S180106,Arc,0.8,N,43.97,10.15,9.56,M,,,,0.204240078,0.257034016,0.404908801,0.389432931,1.401704934,4.705518519
S180107,Arc,0.74,N,41.22,9.65,8.47,U,1.96,4.4,23,0.171861573,0.251933443,0.31867302,0.359685441,1.237846002,4.546519803
S180108,Arc,0.65,N,43.99,9.39,8.73,F,2.01,4.57,23,0.128014074,0.245446549,0.312014902,0.341871055,1.242238435,4.734554486
S180109,Arc,1.02,N,48,11.13,8.91,F,,,,0.175778793,0.248600688,0.370057859,0.393379733,1.320804159,5.242442665
S180110,Arc,0.88,N,47.04,10.63,9.74,F,,,,0.177574848,0.285921204,0.313046729,0.407635641,1.24634649,5.09339487
S180111,Arc,0.87,N,41.74,9.56,9.35,U,,,,0.202783871,0.300506633,0.33147916,0.384179463,1.333098297,4.624072913
S180112,Arc,1.09,N,44.25,10.55,8.87,F,,,,0.177265625,0.293411458,0.331822917,0.380338542,1.328333333,4.958671875
S180113,Arc,2.05,N,56.33,13.46,11.11,F,,,,0.262434979,0.337039629,0.370229167,0.475777643,1.573591468,6.081780484
S180114,Arc,3.17,N,63.74,15.04,13.75,F,,,,0.281138401,0.43588035,0.407404708,0.461440753,1.810623965,6.919919414
S180115,Arc,2.45,N,56.74,13.79,13.12,M,,,,0.274253259,0.389613129,0.45766886,0.491920854,1.788038434,6.253137788
S180116,Arc,2.41,N,56.59,13.41,14.73,M,,,,0.252604167,0.428671875,0.512447917,0.521119792,1.813567708,6.281822917
S180117,Arc,0.77,N,38.79,9.59,8.33,U,,,,0.21022009,0.285526289,0.322441092,0.384276625,1.250751249,4.294655255
S180118,Arc,0.91,N,45.37,9.92,10.5,F,,,,0.183339267,0.293751178,0.322152535,0.384504638,1.216206312,5.045101878
S180119,Arc,1.02,N,45.68,10.95,9.06,F,,,,0.20022459,0.322991748,0.355687872,0.414368537,1.396453567,5.139454716
S180120,Arc,1,N,44.04,10.35,8.89,F,,,,0.18090953,0.30037417,0.334236324,0.397315938,1.344703752,4.857519474
S180121,Arc,1.74,N,53.57,11.81,10.05,F,,,,0.22918467,0.398138411,0.388846086,0.478906161,1.613923392,5.919497746
S180122,Arc,2.5,N,60.38,13.76,13.12,M,,,,0.273461632,0.401717344,0.499057745,0.537163267,1.949870992,6.60541576
S180123,Arc,1.17,N,46.7,10.61,10.33,F,,,,0.185939927,0.280864837,0.329000518,0.405567064,1.346452615,4.998757121
S180124,Arc,0.95,N,44.17,10,9.39,U,,,,0.196172348,0.337913118,0.350121827,0.400180137,1.40665674,4.639439597
S180125,Arc,1.22,N,45.28,10.31,10.13,F,,,,0.185182292,0.282630208,0.306041667,0.370859375,1.284739583,4.893645833
S180126,Arc,1.91,N,54.22,12.85,12.76,U,,,,0.236570162,0.342432252,0.451832619,0.494474046,1.712395413,5.748657537
S180127,Arc,2.1,N,60.44,13.86,12.98,F,,,,0.245433285,0.357862772,0.410470501,0.451514946,1.745196289,6.424705839
S180128,Arc,2.07,N,59.05,13.31,12.44,F,,,,0.23426031,0.393947755,0.387830958,0.484502379,1.716529407,6.290826366
S180129,Arc,0.97,N,46.12,10.14,9.38,F,,,,0.196367835,0.294172967,0.332129926,0.424449193,1.342887446,5.245531633
S180130,Arc,0.87,N,42.64,9.99,8.55,F,,,,0.168245485,0.270019445,0.331083821,0.383205607,1.298183406,4.60202872
S180131,Arc,3.42,N,67.23,15.49,15.32,F,,,,0.266128311,0.434942616,0.437913033,0.545005757,1.829145834,7.406694741
S180132,Arc,2.61,N,60.43,13.73,13.55,M,,,,0.284679439,0.397712774,0.492987819,0.530483328,1.822776438,6.712997922
S180133,Arc,2.99,N,67.57,14.01,14.9,F,,,,0.306843788,0.398207829,0.445606037,0.526646754,1.859325054,7.255567783
S180134,Arc,2.64,N,66.88,13.98,14.9,F,,,,0.260701989,0.399765898,0.42496876,0.482835164,1.764358513,7.116460421
S180135,Arc,0.69,N,42.64,9.05,9.64,M,,,,0.185775279,0.34163803,0.359861502,0.449416849,1.41625013,4.530068729
S180136,Arc,1.13,N,44.83,11.02,10.06,F,,,,0.174689766,0.280363057,0.285708297,0.374061963,1.212897749,4.780923783
S180137,Arc,0.74,N,43.38,8.68,8.85,F,,,,0.18228055,0.260445407,0.274266765,0.366955761,1.270732037,4.607535894
S180138,Arc,0.68,N,39.88,8.99,9.96,M,,,,0.188266788,0.237826999,0.321288669,0.355526041,1.248565906,4.239284348
S180139,Arc,0.95,N,43.55,9.76,8.64,F,,,,0.165602327,0.25621785,0.276116004,0.352525953,1.172878479,4.506065185
S180140,Arc,0.6,N,39.25,8.54,8.44,U,,,,0.176943366,0.250617848,0.289064609,0.346436211,1.172509398,4.179274574
S180141,Arc,0.84,N,42.67,10.58,9.26,U,2.07,4.77,24,0.19761374,0.317495617,0.341854704,0.373273272,1.320976225,4.6156074
S180142,Arc,0.96,N,46.62,10.76,7.8,F,,,,0.181671617,0.291234455,0.304557213,0.348776328,1.30132761,4.904381995
S180143,Arc,1.08,N,45.53,10.45,8.72,F,,,,0.172915495,0.292560738,0.301821765,0.391207442,1.353683515,4.971365627
S180144,Arc,0.64,N,38.4,9.07,8.44,U,,,,0.180696785,0.300129493,0.321359108,0.366191515,1.313476033,4.288562835
S180145,Arc,1.57,N,50.31,11.96,9.75,F,,,,0.205526618,0.265561412,0.330023092,0.394924872,1.397990038,5.415298905
S180146,Arc,0.81,N,43.41,10.47,8.92,U,1.96,4.75,22,0.195077232,0.291270757,0.337212765,0.3767558,1.351201701,4.670596593
S180147,Arc,1.89,Y,55.29,13.9,12.08,M,2.85,6.31,24,0.258457665,0.421159311,0.490194542,0.494687187,1.880641926,6.084686351
S180148,Arc,2.01,N,57.93,13.74,12.61,M,,,,0.2579883,0.398254284,0.464647194,0.474268234,1.872723709,6.300026825
S180149,Arc,2.91,N,56.73,15.41,11.16,F,,,,0.260881776,0.32615423,0.422580628,0.478673331,1.69591358,6.533694629
S180150,Arc,1.32,N,46.91,11.65,8.42,F,,,,0.176338811,0.259724433,0.346247388,0.40632341,1.386571181,5.134983069
S180151,Arc,0.51,N,37.55,9.02,6.56,F,,,,0.167303254,0.255388712,0.296694032,0.330828111,1.117248505,4.04481126
S180152,Arc,0.88,N,42.93,10.08,8.73,F,,,,0.17903634,0.270391975,0.314180568,0.350386385,1.183016651,4.760689644
S180153,Arc,0.74,N,43.81,9.56,7.07,F,,,,0.168250137,0.282419872,0.296578261,0.375055447,1.191522504,4.837707218
S180154,Arc,0.81,N,42.91,11.02,9.48,M,,,,0.200274029,0.351739827,0.362080554,0.420169588,1.355436637,4.591773952
S180155,Arc,0.63,N,42.9,8.56,8.25,F,,,,0.167643271,0.279741618,0.291352265,0.35633569,1.193026371,4.625692372
S180156,Arc,2.19,N,56.2,14.32,11.07,F,2.3,5.72,24,0.238380222,0.37097132,0.398469785,0.486511306,1.640621372,6.244627997
S180157,Arc,1.07,N,47.34,10.75,10.12,F,2.75,4.85,22,0.196299721,0.268740283,0.322818906,0.402645566,1.350312747,5.000878067
S180158,Arc,2.9,N,63.94,16.56,14.23,M,3.09,6.94,24,0.320352904,0.444931695,0.48177931,0.521621608,1.956647414,6.874879562
S180159,Arc,2.66,N,63.56,15.68,12.53,F,2.77,6.5,25,0.271208326,0.332877101,0.434341348,0.504403068,6.838442269,6.802158924
S180160,Arc,0.87,N,45.38,10.54,8.5,F,,,,0.178225644,0.290433184,0.328257401,0.363164118,1.364021295,4.917974378
S180161,Arc,0.43,N,33.39,7.69,7.14,U,1.32,3.85,23,0.158923448,0.230129409,0.254432313,0.320762213,1.027636169,3.716693154
S180162,Arc,2.67,N,59.63,14,12.21,F,2.46,6.22,19,0.237626795,0.36756232,0.399721752,0.459783839,1.658611668,6.356640053
S180163,Arc,2.78,N,60.88,14.33,12.76,F,,,,0.236741929,0.33502055,0.39844804,0.489484527,1.749118917,6.446204286
S180164,Arc,0.95,N,42.47,9.83,8.85,F,,,,0.176554185,0.250827274,0.268332279,0.36506364,1.152192405,4.5441956
S180165,Arc,0.98,N,46.72,10.07,8.67,F,,,,0.190940045,0.257892709,0.310658281,0.356707762,1.244299132,4.904933464
S180166,Arc,1.56,N,50.87,12.03,10.78,M,,,,0.226847839,0.304865949,0.382100745,0.442859829,1.498898138,5.427062989
S180167,Arc,2.62,N,61.06,13.64,14.19,M,3.68,6.72,24,0.2631209,0.452488806,0.487269603,0.508304696,1.851582839,6.354941164
S180168,Arc,0.75,N,45.17,8.99,8.79,F,,,,0.174986386,0.254570443,0.313201774,0.382413194,1.203951975,4.834037808
S180169,Arc,2.31,N,56.81,13.14,13.12,M,3.3,6.54,25,0.259070836,0.387573277,0.490896883,0.491774914,1.836712032,6.260387883
S180170,Arc,2.17,N,58.21,13.98,12.84,M,,,,0.273190749,0.399969796,0.491337156,0.53135757,1.906164237,6.336582876
S180171,Arc,1.4,N,50.3,11.84,11.52,M,,,,0.253790024,0.391261845,0.435358597,0.462655314,1.66696937,5.641606393
S180172,Arc,1.16,N,45.31,10.28,8.81,F,,,,0.182864621,0.269689929,0.282269049,0.378201533,1.140560318,4.944876212
S180173,Arc,1.15,N,45.91,10.37,8.98,F,2.34,4.85,20,0.188860902,0.280850697,0.310138565,0.380823189,1.22995561,4.951429604
S180174,Arc,2.26,N,61.63,13.78,11.21,F,,,,0.256504975,0.348720576,0.420686494,0.472267911,1.74732386,6.62819856
S180175,Arc,2.16,N,60.28,13.93,12.33,M,,,,0.269975748,0.386267241,0.512868452,0.502238224,1.883420049,6.393200927
S180176,Arc,2.06,N,56.34,13.32,12.39,M,,,,0.265894355,0.407032717,0.460115847,0.492109336,1.760705718,5.945709468
S180177,Arc,1.06,N,43.14,10.14,7.68,F,,,,0.1684427,0.242234864,0.268140908,0.357049382,1.149427129,4.685308335
S180178,Arc,0.75,N,44.99,9.18,8.89,F,,,,0.175183147,0.287109438,0.31909987,0.37608199,1.218371572,4.827900591
S180179,Arc,0.94,N,39.77,9.88,8.47,M,,,,0.183668259,0.29717769,0.356405783,0.375075797,1.356368549,4.677689599
