FishID,Lake,LatPlNum_L,LatPlNum_R,FirstPl_L,LastPl_L,FirstPl_R,LastPl_R,Pelvic_L,Pelvic_R,PelvicTotal,DS1,DS2,DS3,DS4,DS1Length,DS2Length,PSLLength,PSRLength
S180668,Corcoran,,,,,,,,,,,,,,,,,
S180669,Corcoran,,,,,,,,,,,,,,,,,
S180670,Corcoran,,,,,,,,,,,,,,,,,
S180671,Corcoran,,,,,,,,,,,,,,,,,
S180672,Corcoran,,,,,,,,,,,,,,,,,
S180673,Corcoran,,,,,,,,,,,,,,,,,
S180674,Corcoran,,,,,,,,,,,,,,,,,
S180675,Corcoran,,,,,,,,,,,,,,,,,
S180677,Corcoran,,,,,,,,,,,,,,,,,
S180678,Corcoran,,,,,,,,,,,,,,,,,
S180679,Corcoran,,,,,,,,,,,,,,,,,
S180680,Corcoran,,,,,,,,,,,,,,,,,
S180681,Corcoran,,,,,,,,,,,,,,,,,
S180682,Corcoran,,,,,,,,,,,,,,,,,
S180683,Corcoran,,,,,,,,,,,,,,,,,
S180684,Corcoran,,,,,,,,,,,,,,,,,
S180685,Corcoran,7,7,2,8,2,8,4,4,8,1,1,1,0,3.09,3.62,5.09,4.57
S180686,Corcoran,6,6,3,8,3,8,4,4,8,1,1,1,0,3.72,5.22,5.17,5.33
S180687,Corcoran,5,5,4,8,4,8,4,4,8,1,1,1,0,3.43,3.79,4.96,4.8
S180688,Corcoran,5,5,3,7,3,7,4,4,8,1,1,1,0,3.53,4.58,5.48,5.61
S180689,Corcoran,,,,,,,,,,,,,,,,,
S180690,Corcoran,5,5,5,9,5,9,4,4,8,1,1,1,0,3.41,3.79,4.82,4.58
S180691,Corcoran,5,5,3,7,3,7,4,4,8,1,1,1,0,3.5,4.18,4.49,4.71
S180692,Corcoran,6,7,3,8,2,8,4,4,8,1,1,1,0,2.75,3.75,4.63,4.52
S180693,Corcoran,5,5,4,8,4,8,4,4,8,1,1,1,0,3.21,3.55,4.3,4.51
S180694,Corcoran,6,6,3,8,3,8,4,4,8,1,1,1,0,2.5,2.92,3.66,4.34
S180695,Corcoran,7,7,3,9,3,9,4,4,8,1,1,1,0,2.33,2.85,3.92,3.83
S180696,Corcoran,5,5,3,7,4,8,4,4,8,1,1,1,0,3.56,4.08,5.2,5.65
S180697,Corcoran,6,6,3,8,3,8,4,4,8,1,1,1,0,3.92,5.06,5.53,5.93
S180698,Corcoran,,,,,,,,,,,,,,,,,
S180699,Corcoran,6,6,3,8,3,8,4,4,8,1,1,1,0,4.39,5.04,5.44,5.52
S180700,Corcoran,7,7,3,9,3,9,4,4,8,1,1,1,0,4.12,4.07,5.25,4.95
S180701,Corcoran,4,4,5,8,5,8,4,4,8,1,1,1,0,3.24,3.91,4.51,4.67
S180702,Corcoran,5,5,4,8,4,8,4,4,8,1,1,1,0,4.72,5.5,6.26,5.95
S180703,Corcoran,5,4,4,8,4,7,4,4,8,1,1,1,0,3.71,4.33,4.92,5.21
S180704,Corcoran,5,6,3,8,3,9,4,4,8,1,1,1,0,2.97,3.14,3.73,4.47
S180705,Corcoran,5,5,5,9,5,9,4,4,8,1,1,1,0,3.37,3.88,5.02,4.99
S180706,Corcoran,,,,,,,,,,,,,,,,,
S180707,Corcoran,,,,,,,,,,,,,,,,,
S180708,Corcoran,5,5,3,7,3,7,4,4,8,1,1,1,0,2.76,3.48,4.34,4.39
S180709,Corcoran,7,6,2,8,3,8,4,4,8,1,1,1,0,2.74,2.97,4.03,4.29
S180201,Echo,5,6,3,7,3,8,3,3,6,1,1,1,0,NA,NA,0,0
S180202,Echo,4,4,4,7,4,7,3,3,6,1,1,1,0,3.06,3.6,0,0
S180203,Echo,5,5,3,7,3,7,3,3,6,1,1,1,0,3.67,4.09,0,0
S180204,Echo,6,5,3,8,3,7,3,3,6,1,1,1,0,3.99,4.54,0,0
S180205,Echo,4,4,4,7,4,7,3,3,6,1,1,1,0,3.83,4.67,0,0
S180206,Echo,3,4,4,6,4,7,3,3,6,1,1,1,0,3.12,3.7,0,0
S180207,Echo,3,3,5,7,5,7,3,3,6,1,1,1,0,3.42,3.79,0,0
S180208,Echo,4,4,4,7,4,7,3,3,6,1,1,1,0,3.21,3.83,0,0
S180209,Echo,5,5,3,7,4,8,3,3,6,1,1,1,0,2.78,3.66,0,0
S180210,Echo,4,4,4,7,4,7,3,3,6,1,1,1,0,3.49,3.72,0,0
S180211,Echo,4,4,4,7,4,7,3,3,6,1,1,1,0,3.06,3.37,0,0
S180212,Echo,3,4,5,7,4,7,3,3,6,1,1,1,0,3.61,3.92,0,0
S180213,Echo,3,3,5,7,5,7,3,3,6,1,1,1,0,2.92,3.28,0,0
